"Date","T90p","T10p","Rx5day","CDD","W90p","Sea","IACI"
"1961-01",-0.827855775280302,0.66476915407161,-0.700279654667013,0.377390381373047,-1.05434690084218,-0.443062079141221,-0.552153863771547
"1961-02",1.29329424704575,-1.02931045782415,-1.70291904738401,0.256348792845755,1.13613522233469,-0.778265655147126,0.205650669586535
"1961-03",0.530100912497359,-1.02854487784309,1.38912343111071,0.135307204318133,1.23130461283185,0.0323877844123762,0.724461470502251
"1961-04",0.637258865609961,-0.968406732452127,-0.616139023688863,0.0142656157908418,-0.814661957394694,1.71468676930212,0.317302833678582
"1961-05",1.64141530212857,-0.398951493994933,2.12291388544419,-0.10677597273645,1.92670095243703,2.41823903264692,1.4002407823192
"1961-06",-0.523349834366476,-0.635154984636654,2.82219973563827,-0.227817561264071,-0.149276955945743,1.83903572956196,0.732657683043432
"1961-07",0.724285015266873,-0.793886116271625,-0.857075525746725,-0.348859149791363,-0.308091116654308,0.472356126557126,0.0794169109838713
"1961-08",-0.323827629403804,-0.906881274989023,-0.298125757925046,-0.469900738318654,3.97348560929571,0.0436068405279108,0.638686599860856
"1961-09",-0.383458275915677,-0.494227411670646,1.28302379068613,-0.590942326846276,0.0944943508729695,1.00966581594585,0.317835127735607
"1961-10",-0.621298621447361,0.612011799811545,0.119169091428631,-0.711983915373568,-0.570799826531535,0.192002262827195,-0.36748713481803
"1961-11",-0.661008837008839,0.158857845980845,1.73714974348399,-0.833025503900859,-0.99892415245883,1.38035391203357,0.0776145526946982
"1961-12",1.32791720638745,-0.916564276656106,1.49395509060302,-0.954067092428481,0.676664365091108,1.28992147061161,0.791825886153469
"1962-01",0.462309069312376,-0.895993207661735,1.14345987744313,-0.876254642660936,-0.714234997344705,0.0933807969490423,0.167442218560107
"1962-02",-0.702497530016252,0.0616541289458121,-0.802636180099506,-0.798442192893392,-0.610221038144428,-1.54071749436964,-0.752694760744837
"1962-03",-0.43790944945434,-0.0582195213873447,1.74929264286088,-0.720629743125635,-0.941585880400823,2.14154350102303,0.308155098715076
"1962-04",0.637258865609961,-0.641977496794107,-0.51279132293948,-0.64281729335809,-0.426727691968649,-0.82442892198622,-0.187921477974729
"1962-05",0.687566216145867,-0.398951493994933,-0.996503987484202,-0.565004843590546,-0.730817602648529,-1.41623721124925,-0.437007655805288
"1962-06",-0.686896657606,-0.508123987709323,0.543210397537068,-0.487192393822789,3.10767481014319,-2.19031221723106,0.132434654454956
"1962-07",0.162339744801195,0.112179559907947,-0.853363380003691,-0.409379944055245,-0.308091116654308,-0.570302881896775,-0.348496189619462
"1962-08",2.54284318826922,-0.906881274989023,-0.36294404998827,-0.3315674942877,1.10492647959025,-1.01930989733998,0.473471583538757
"1962-09",2.24992988398717,-0.373684140531464,-0.784675696317964,-0.253755044519943,-0.53546798828016,0.246807199453429,0.216087082475665
"1962-10",1.0270446599436,-0.492370395337108,2.04048236854509,-0.175942594752399,0.207563573284195,0.347081013572232,0.656433235988303
"1962-11",-0.799682019598106,2.09493784387239,-0.56077023961158,-0.0981301449848541,-0.99892415245883,0.250079941341522,-0.717060743197374
"1962-12",-0.393456950040726,0.611042851104071,3.19873767215202,-0.0203176952170973,-0.566188550382355,-0.311262632417807,0.216078165498328
"1963-01",0.784850280460546,0.144515033493828,1.50370667817345,-0.0721926617287936,1.32643642364017,2.00073324526998,0.899836488720253
"1963-02",-0.395452641237483,2.60723816474239,0.0921943064756015,-0.12406762824049,-0.610221038144428,0.899128391142395,-0.457609462457799
"1963-03",-0.299622254889811,0.523975692486102,0.0513725075232812,-0.175942594752328,-0.941585880400823,-1.65019711310848,-0.589991838019045
"1963-04",-0.167699701476305,-0.968406732452127,3.02283027583275,-0.227817561264024,1.12500936973553,-0.699040492786796,0.670281437082214
"1963-05",-0.504745141332515,-0.398951493994933,0.465643864908202,-0.279692527775721,-0.398627783262834,-1.13634843432253,-0.242469754631743
"1963-06",0.130837458591619,0.381092990781992,0.962425984405364,-0.331567494287558,-0.963514897467977,0.650894668328121,0.0113304547979295
"1963-07",-0.774235705974933,-0.535010208791748,-0.586115975340314,-0.383442460799255,0.0616182233308617,-0.949451612243648,-0.34943622037259
"1963-08",-0.960865588886697,0.276007344561877,-0.361745365141818,-0.435317427310951,0.46746889521126,-1.95958239622311,-0.587674871152198
"1963-09",-0.799256406426653,1.43446492655626,-0.601936711032711,-0.487192393822789,-0.850449157856725,-1.68277635990975,-0.976012659267482
"1963-10",-0.114116073327066,-0.906513718517853,-0.751193078930171,-0.539067360334485,0.985926973099925,-1.46955578086963,-0.163581933640596
"1963-11",0.448376623705297,-0.734717537661408,1.30603931212032,-0.590942326846182,-0.624327595286769,0.987215139618946,0.376846448495503
"1963-12",-0.270501653152999,-0.407361900736047,1.55676732180924,-0.64281729335802,-0.566188550382355,1.54497734543046,0.338266511847062
"1964-01",0.462309069312376,-0.549157127276547,-0.974711720292626,-0.49583822157488,3.02699594112756,-0.472864461146236,0.349174622450457
"1964-02",0.478037128564187,-0.502637898693824,1.05556748369856,-0.34885914979174,-0.650367159074982,-0.015813815924616,0.170200397694205
"1964-03",-0.161335060325283,-0.640414735260792,0.659169310790039,-0.2018800780082,-0.941585880400823,1.35949699935841,0.225713337779155
"1964-04",0.838498507381527,1.47981253498303,0.00223259901248465,-0.05490100622506,-1.20259622282074,-1.29463553148406,-0.531869031519812
"1964-05",2.95295779535479,-0.816458871431491,-0.910293587648854,0.0920780655580797,0.930131494279946,-0.940426290473816,0.490151058083607
